Login Log data for the month of: July, 2017

2017-Jul-10 13:30:13-0700 - Successful login attempt by User: NicReichelt.
2017-Jul-10 13:32:25-0700 - Successful login attempt by User: NicReichelt.
2017-Jul-10 13:49:34-0700 - Successful login attempt by User: NicReichelt.
2017-Jul-10 13:55:24-0700 - Successful login attempt by User: NicReichelt.
2017-Jul-10 13:56:55-0700 - Successful login attempt by User: NicReichelt.
2017-Jul-10 13:58:13-0700 - Successful login attempt by User: NicReichelt.
2017-Jul-10 14:02:46-0700 - Successful login attempt by User: NicReichelt.
2017-Jul-10 14:04:15-0700 - Successful login attempt by User: NicReichelt.
2017-Jul-10 14:08:58-0700 - Successful login attempt by User: NicReichelt.
2017-Jul-10 14:29:31-0700 - Successful login attempt by User: NicReichelt.
2017-Jul-10 14:34:55-0700 - Successful login attempt by User: NicReichelt.
2017-Jul-10 14:38:43-0700 - Successful login attempt by User: NicReichelt.
2017-Jul-10 14:42:13-0700 - Successful login attempt by User: NicReichelt.
2017-Jul-10 14:44:21-0700 - Successful login attempt by User: NicReichelt.
2017-Jul-10 14:46:39-0700 - Successful login attempt by User: NicReichelt.
2017-Jul-10 14:49:29-0700 - Successful login attempt by User: NicReichelt.
2017-Jul-10 15:10:20-0700 - Successful login attempt by User: NicReichelt.
2017-Jul-10 15:23:58-0700 - Successful login attempt by User: NicReichelt.
2017-Jul-10 15:25:36-0700 - Successful login attempt by User: NicReichelt.
2017-Jul-10 15:27:43-0700 - Successful login attempt by User: NicReichelt.
2017-Jul-10 15:37:50-0700 - Successful login attempt by User: NicReichelt.
2017-Jul-10 15:41:16-0700 - Successful login attempt by User: NicReichelt.
2017-Jul-10 15:44:26-0700 - Successful login attempt by User: NicReichelt.
2017-Jul-10 15:48:06-0700 - Successful login attempt by User: NicReichelt.
2017-Jul-11 11:41:59-0700 - Successful login attempt by User: NicReichelt.
2017-Jul-11 11:46:10-0700 - Successful login attempt by User: NicReichelt.
2017-Jul-11 11:48:34-0700 - Successful login attempt by User: NicReichelt.
2017-Jul-11 12:00:52-0700 - Successful login attempt by User: NicReichelt.
2017-Jul-11 12:08:50-0700 - Successful login attempt by User: NicReichelt.
2017-Jul-11 12:22:19-0700 - Successful login attempt by User: NicReichelt.
2017-Jul-11 12:27:35-0700 - Successful login attempt by User: NicReichelt.
2017-Jul-11 12:41:03-0700 - Successful login attempt by User: NicReichelt.
2017-Jul-11 12:46:12-0700 - Successful login attempt by User: NicReichelt.
2017-Jul-11 13:03:35-0700 - Successful login attempt by User: NicReichelt.
2017-Jul-11 13:06:39-0700 - Successful login attempt by User: NicReichelt.
2017-Jul-11 13:09:58-0700 - Successful login attempt by User: NicReichelt.
2017-Jul-11 13:24:17-0700 - Successful login attempt by User: NicReichelt.
2017-Jul-11 13:30:38-0700 - Successful login attempt by User: NicReichelt.
2017-Jul-11 13:37:06-0700 - Successful login attempt by User: NicReichelt.
2017-Jul-11 13:43:14-0700 - Successful login attempt by User: NicReichelt.
2017-Jul-11 14:00:28-0700 - Successful login attempt by User: NicReichelt.
2017-Jul-11 14:08:51-0700 - Successful login attempt by User: NicReichelt.
2017-Jul-11 14:14:52-0700 - Successful login attempt by User: NicReichelt.
2017-Jul-11 14:41:26-0700 - Successful login attempt by User: NicReichelt.
2017-Jul-11 14:46:51-0700 - Successful login attempt by User: NicReichelt.
2017-Jul-11 14:50:47-0700 - Successful login attempt by User: NicReichelt.
2017-Jul-13 10:53:06-0700 - Successful login attempt by User: NicReichelt.
2017-Jul-13 11:19:34-0700 - Successful login attempt by User: NicReichelt.
2017-Jul-13 11:24:39-0700 - Successful login attempt by User: NicReichelt.
2017-Jul-13 11:32:22-0700 - Successful login attempt by User: NicReichelt.
2017-Jul-13 11:38:05-0700 - Successful login attempt by User: NicReichelt.
2017-Jul-13 11:40:03-0700 - Failed login attempt by User: NicReichelt.
2017-Jul-13 11:40:13-0700 - Successful login attempt by User: NicReichelt.
2017-Jul-13 11:46:19-0700 - Successful login attempt by User: NicReichelt.
2017-Jul-13 11:54:23-0700 - Successful login attempt by User: NicReichelt.
2017-Jul-13 12:00:21-0700 - Successful login attempt by User: NicReichelt.
2017-Jul-13 12:03:18-0700 - Successful login attempt by User: NicReichelt.
2017-Jul-13 12:08:55-0700 - Successful login attempt by User: NicReichelt.
2017-Jul-13 12:10:05-0700 - Successful login attempt by User: NicReichelt.
2017-Jul-13 12:12:25-0700 - Successful login attempt by User: NicReichelt.
2017-Jul-13 12:24:34-0700 - Successful login attempt by User: NicReichelt.
2017-Jul-13 12:26:09-0700 - Successful login attempt by User: NicReichelt.
2017-Jul-13 12:32:30-0700 - Successful login attempt by User: NicReichelt.
2017-Jul-13 15:27:34-0700 - Successful login attempt by User: NicReichelt.
2017-Jul-13 15:31:23-0700 - Successful login attempt by User: NicReichelt.
2017-Jul-13 15:33:33-0700 - Successful login attempt by User: NicReichelt.
2017-Jul-13 15:34:33-0700 - Failed login attempt by User: NicReichelt.
2017-Jul-13 15:34:58-0700 - Successful login attempt by User: NicReichelt.
2017-Jul-13 15:36:14-0700 - Successful login attempt by User: NicReichelt.
2017-Jul-13 15:43:04-0700 - Successful login attempt by User: NicReichelt.
2017-Jul-17 12:14:04-0700 - Successful login attempt by User: NicReichelt.
2017-Jul-17 12:30:36-0700 - Failed login attempt by User: Nic.
2017-Jul-17 12:52:43-0700 - Failed login attempt by User: Ni.
